"id","flowscore"
236,95.5751566714879
237,86.2029199277357
238,96.4094461978388
239,94.4525881567361
240,97.2653312036481
241,95.7129951628051
242,3.34332142678345
243,70.7345624449173
244,94.322530116425
245,88.1897664829093
246,65.0795693023088
247,95.9555726633032
248,95.4141925346689
249,94.6289334462878
250,97.25592853172
251,94.674559407123
252,96.2675033625652
253,82.9912966791227
254,33.7105358841736
255,96.2744373566851
256,78.6976680171628
257,98.8255107784793
258,65.5312875575248
259,78.0999415409148
260,81.2288348710323
261,96.280157588298
262,88.9028936297323
263,74.2868848249294
264,87.0894695736514
265,84.6467129331382
266,90.0364105892041
267,95.3122296640066
268,90.4709967108055
269,2.10362906557865
270,88.5303875348718
271,96.8510270906479
272,16.081725038836
273,94.7909431099255
274,72.9686019399956
275,96.048359960298
276,71.4489951698613
277,92.9353210106308
278,77.3219552971929
279,98.0818845860844
280,45.8967037606557
281,16.9569818106212
282,80.7099674441499
283,98.3980904610246
284,89.4794326573335
285,98.160322194256
286,95.0208222353474
287,68.392680364409
288,95.7499582331209
289,91.2076906193203
290,98.5213408477916
291,71.4542792198906
292,96.4611965253739
293,3.40374990670044
294,98.7671710501974
295,98.8815108597707
296,84.9332478728575
297,98.4283143589466
298,83.4833548914701
299,94.1194610249248
300,98.7767430409072
301,80.9905020691117
302,94.6530978527148
303,92.5798876671479
304,82.3460545156856
305,93.1325723171106
306,48.2674869347275
307,95.0657428346905
308,25.1677609937199
309,96.3511821222065
310,26.0839584133454
311,95.3025499416764
312,97.5476586339712
313,97.269113556663
314,97.6199634409912
315,92.6157710585638
316,10.6258392378089
317,59.0058930149048
318,98.5294411422517
319,70.8060847944478
320,72.2527872312046
321,97.2464552900746
322,88.141540157893
323,92.2125438057209
324,98.3489246597427
325,58.9575980635289
326,92.8147483946913
327,79.7240625991584
328,4.07046642294722
329,90.6977529062
330,92.649328139382
331,11.1967007950844
332,78.0389426246594
333,96.1342528087111
334,74.7742864921492
335,93.1072500081852
336,83.6502761549582
337,84.7110889915882
338,96.8680228985398
339,95.5096005520247
340,29.5867419756995
341,91.1273089939228
342,3.65616492049184
343,92.5992394918563
344,93.2677073527952
345,95.4166777309114
346,90.5429518803341
347,90.5343241668301
348,94.7063826682624
349,98.5368055782048
350,64.8441787577983
351,90.0561953241962
352,21.7464113198868
353,84.8365063537655
354,96.9033551600221
355,20.1638840992436
356,54.0035093696555
357,94.9896962861674
358,83.2940267308879
359,56.3038000833916
360,86.7111997317647
361,85.4168977510799
362,84.839481413319
363,79.6681556405678
364,92.083710372971
365,95.3689208658832
366,93.0259532126599
367,91.4117510359642
368,97.1650928849789
369,88.6951084067316
370,97.8336441326084
371,93.8248311298293
372,96.9136569304028
373,72.301514726771
374,67.0080554902333
375,81.9747735469184
376,32.8761746230807
377,83.4583445774997
378,94.7090628543295
379,88.4583914877989
380,96.0686409476297
381,67.3851030344477
382,98.6949473760098
383,98.3406848196707
384,36.1898955901552
385,76.4108174189867
386,96.2557496728413
387,94.9663227127842
388,57.9820744938925
389,79.856792193902
390,91.9932404621061
391,96.1798768649312
392,80.530271927774
393,95.7354761342506
394,97.8452995895292
395,95.7531033839844
396,91.1976030986933
397,68.7515318643614
398,73.0842490953038
399,95.0239394666995
400,94.1163310446484
401,84.9900221878433
402,86.5763539689065
403,90.198647051322
404,90.5538801523878
405,97.6182036541626
406,96.667791683573
407,97.2428515062436
408,82.4743443825922
409,90.0191518597809
410,64.3739368704156
411,74.9395968149398
412,83.4779954602643
413,96.9388016209775
414,91.9873950949288
415,96.3014876884128
416,86.8663623531117
417,92.5752540198367
418,48.3188555261989
419,93.1613927523705
420,96.0933631678711
421,95.5351986911944
422,93.9958084692519
423,92.7224770121658
424,93.5994659022665
425,92.8567161722268
426,16.9506964770883
427,91.6539944445916
428,88.881089059228
429,74.1627775865313
430,96.0590319180982
431,78.0199722493837
432,97.3223428890872
433,97.1769968849109
434,74.0095619437308
435,86.4880520421134
436,98.8111749198845
437,87.7564208678762
438,97.6013176397125
439,93.3262517775568
440,86.4991436586166
441,88.2442151280612
442,97.6894830091629
443,92.9364849541616
444,62.0397584160611
445,69.3793230431912
446,23.543800136196
447,86.2728795555367
448,38.6743918081162
449,85.6408119054157
450,99.2986039697752
451,38.289875386447
452,69.9715346160002
453,87.7344935691197
454,99.0943395849354
455,98.2726626449368
456,71.2964064263692
457,96.3484137100847
458,38.4857324766569
459,91.5769785273601
460,96.0486687936536
461,83.0003263778087
462,90.4758723392064
463,91.8618320055772
464,91.9020679610292
465,70.3609704809077
466,84.1234194081061
467,98.3894595576308
468,89.9923994750793
469,95.7043606968563
470,35.6257703247378
471,67.5020176792254
472,95.459351815502
473,96.1157433051719
474,97.5660498139043
475,94.6603143701746
476,93.2544314059687
477,93.5966959911651
478,97.813743496942
479,94.8477863175837
480,96.3130661896666
481,98.1193947520784
482,55.658364676082
483,97.5302904286999
484,87.8008355701804
485,23.9218784766023
486,92.7744925708173
487,92.5922460844746
488,44.8440825258329
489,86.5626333936366
490,91.9395028977305
491,74.2542977531692
492,88.3844947227792
